Country,Year,Estimated number of road traffic deaths (Both sexes),Estimated number of road traffic deaths (Male),Estimated number of road traffic deaths (Female)
Malaysia,2019,7181 [6350-8015],5941 [5253-6631],1240 [1096-1384]
Malaysia,2018,7153 [6312-7995],5904 [5210-6599],1249 [1102-1396]
Malaysia,2017,7123 [6274-7974],5874 [5173-6575],1250 [1101-1399]
Malaysia,2016,7374 [6482-8266],6063 [5330-6797],1311 [1152-1469]
Malaysia,2015,6914 [6066-7762],5665 [4970-6359],1249 [1096-1403]
Malaysia,2014,6881 [6024-7738],5633 [4932-6335],1248 [1092-1403]
Malaysia,2013,7129 [6243-8016],5833 [5108-6559],1296 [1135-1457]
Malaysia,2012,7131 [6247-8016],5841 [5117-6566],1290 [1130-1450]
Malaysia,2011,7090 [6210-7971],5814 [5093-6537],1276 [1117-1434]
Malaysia,2010,7085 [6206-7964],5801 [5082-6521],1284 [1124-1443]
Malaysia,2009,6954 [6089-7819],5698 [4989-6407],1256 [1100-1412]
Malaysia,2008,6729 [5899-7560],5515 [4835-6197],1214 [1064-1363]
Malaysia,2007,6477 [5680-7273],5294 [4643-5945],1183 [1037-1328]
Malaysia,2006,6482 [5680-7284],5301 [4645-5957],1181 [1035-1327]
Malaysia,2005,6392 [5603-7181],5236 [4590-5883],1156 [1013-1298]
Malaysia,2004,6421 [5674-7168],5290 [4675-5906],1131 [999-1262]
Malaysia,2003,6481 [5761-7201],5345 [4752-5939],1136 [1009-1262]
Malaysia,2002,6074 [5395-6752],4987 [4429-5543],1087 [966-1209]
Malaysia,2001,6030 [5355-6706],4968 [4412-5525],1062 [943-1181]
Malaysia,2000,6222 [5524-6921],5133 [4557-5710],1089 [967-1211]
